AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
Tucson
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
All Points,Contact: Please visit https://aeronet.gsfc.nasa.gov/new_web/data_usage.html to properly cite these data and contact principal investigators at https://aeronet.gsfc.nasa.gov/cgi-bin/site_info_v3
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Chiayi,30:09:2016,00:50:10,274,274.034838,0.261400,0.146600,0.106900,0.080600,0.246600,0.130500,0.090000,0.063200,0.014800,0.016100,0.016900,0.017400,1.321705,50.044480,50.664218,1.098048,0.027774,0.260670,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.046230,0.071970,0.289990,0.284400,1,1,01:09:2021,05:35:25,257,23.495975,120.495975,62.000000,lev20,Almucantar
NEON-CPER,29:09:2016,21:51:29,273,273.910752,0.059700,0.036900,0.030400,0.028300,0.039100,0.015000,0.007700,0.005200,0.020600,0.021900,0.022700,0.023100,1.003438,60.691156,60.222351,2.080292,0.150335,0.059091,3,9,8,5,3,9,8,5,3,9,8,5,3,9,8,5,0.073880,0.146100,0.273820,0.306780,1,1,09:02:2021,03:54:36,820,40.812444,-104.744238,1655.000000,lev20,Almucantar
NEON-CPER,29:09:2016,22:09:24,273,273.923194,0.062300,0.037900,0.031600,0.029500,0.040200,0.014400,0.007000,0.004500,0.022100,0.023500,0.024500,0.025000,1.012500,63.564184,63.074852,1.922619,0.107714,0.061687,3,10,8,5,3,9,8,5,3,10,8,5,3,10,8,5,0.075610,0.149790,0.282510,0.314950,1,1,06:12:2018,06:20:44,820,40.812444,-104.744238,1655.000000,lev20,Almucantar
Santiago_Beauchef,29:09:2016,21:07:45,273,273.880382,0.321100,0.173300,0.115900,0.089600,0.298700,0.149700,0.091400,0.064600,0.022500,0.023600,0.024500,0.025000,1.488024,71.358366,70.742905,3.474941,0.036601,0.319582,4,10,5,6,4,10,6,6,4,10,6,6,4,10,6,5,0.068370,0.134020,0.235370,0.237490,1,1,09:02:2021,03:56:16,835,-33.457222,-70.661666,560.000000,lev20,Almucantar
NEON_TALL,29:09:2016,21:07:29,273,273.880197,0.041900,0.022700,0.016900,0.014900,0.032100,0.012400,0.006200,0.004000,0.009800,0.010300,0.010700,0.010800,1.339855,61.237469,60.668397,1.198157,0.061308,0.041889,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.021580,0.032610,0.271530,0.274000,1,1,06:12:2018,06:19:52,805,32.950461,-87.393269,165.000000,lev20,Almucantar
NEON_TALL,29:09:2016,22:01:20,273,273.917593,0.061800,0.031000,0.021700,0.018400,0.050800,0.019300,0.009500,0.006100,0.011000,0.011700,0.012200,0.012400,1.540301,71.810971,71.207489,1.775563,0.054377,0.061773,4,9,7,6,4,9,7,6,4,9,7,6,4,9,7,6,0.027050,0.038370,0.308010,0.306600,1,1,06:12:2018,06:20:06,805,32.950461,-87.393269,165.000000,lev20,Almucantar
NEON_TALL,29:09:2016,22:30:35,273,273.937905,0.095700,0.042600,0.028100,0.023100,0.084600,0.031000,0.015900,0.010600,0.011100,0.011600,0.012200,0.012500,1.803914,77.752731,77.139446,2.826191,0.050252,0.095683,4,8,7,6,4,8,5,6,4,9,7,6,4,9,6,6,0.031880,0.043490,0.340270,0.335210,1,1,09:02:2021,03:52:27,805,32.950461,-87.393269,165.000000,lev20,Almucantar
NEON_ONAQ,29:09:2016,23:56:51,273,273.997813,0.037900,0.019900,0.014300,0.012000,0.033100,0.014800,0.008900,0.006500,0.004800,0.005100,0.005400,0.005500,1.438004,76.731116,76.181323,4.034087,0.038012,0.037648,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,6,0.083260,0.160460,0.289510,0.314920,1,1,09:02:2021,03:53:52,809,40.177589,-112.452439,1656.000000,lev20,Almucantar
NEON_KONZ,29:09:2016,22:28:13,273,273.936262,0.035900,0.026600,0.023700,0.022600,0.017800,0.007600,0.004200,0.002800,0.018100,0.019000,0.019500,0.019800,0.617791,71.802129,71.255194,2.162962,0.053673,0.034937,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.049800,0.102870,0.382280,0.403500,1,1,06:12:2018,06:19:53,810,39.100770,-96.563090,415.000000,lev20,Almucantar
NEON_KONZ,29:09:2016,22:56:39,273,273.956007,0.038300,0.028300,0.025500,0.024300,0.019100,0.008200,0.004700,0.003300,0.019200,0.020200,0.020800,0.021000,0.607328,77.061803,76.501320,1.420379,0.042967,0.036919,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.054210,0.112650,0.422990,0.442770,1,1,09:02:2021,03:54:34,810,39.100770,-96.563090,415.000000,lev20,Almucantar
